board.processor.cores.core.cpi,board.processor.cores.core.ipc,core_type,dataset_type,dimension,distance_type,elen,hostInstRate,hostOpRate,num_points,num_queries,simInsts,simOps,simSeconds,simTicks,top_k,vlen
0.351387,2.845862,rv,random,2048,euclidean,64,183649,183673,1000,100,3450995534,3451448029,1.010126,1010126110371,50,256
0.410176,2.437981,rv,random,256,euclidean,64,114709,114720,1000,100,621149644,621210425,0.212232,212232056540,5,256
0.512008,1.953093,rvv,random,128,euclidean,64,105339,105346,1000,100,461086432,461119021,0.196655,196654698310,100,256
0.335227,2.983056,rvv,random,3072,euclidean,64,209023,209050,1000,100,5196207055,5196883602,1.451009,1451008964160,10,256
0.652757,1.531963,rvv,random,8,euclidean,64,103606,103608,1000,100,220922477,220927788,0.120126,120125923736,1,256
0.624557,1.601135,rv,random,8,euclidean,64,103888,103890,1000,100,226389152,226394463,0.117780,117780279036,100,256
0.345246,2.896482,rvv,random,4096,euclidean,64,223538,223567,1000,100,6879059964,6879960467,1.978350,1978350484810,1,256
0.345255,2.896407,rv,random,3072,euclidean,64,198478,198506,1000,100,4841324934,4842001481,1.392354,1392353816441,1,256
0.629121,1.589520,rv,random,16,euclidean,64,100168,100171,1000,100,231792714,231799897,0.121473,121472757287,1,256
0.346835,2.883211,rvv,random,4096,euclidean,64,230476,230505,1000,100,7101923296,7102823799,2.051845,2051844859463,50,256
