vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
128,64,rv,random,euclidean,8,1000,100,100,0.137019,137018991305,263016451,263022706,106316,106318,0.625393,1.598995,82721104,3016,0.000036,52236.501989,87166231,6579239,0.070182,26354.595742,62882735,5740437,0.083652,25526.939220,24283496,838802,0.033389,32018.757393,1474227,29726,0.019765,81046.349357
128,64,rv,random,euclidean,3072,1000,100,1,12.030543,12030543237881,22802771215,22802776256,366970,366970,0.633363,1.578874,113659952,8948,0.000079,53946.990277,5667597986,72960148,0.012710,51920.463033,5637714129,69673011,0.012208,52505.422869,29883857,3287137,0.099097,39521.858088,188000418,12464678,0.062179,83142.074136
128,64,rv,random,euclidean,16,1000,100,1,0.154424,154423820754,300527246,300533371,108745,108747,0.616858,1.621118,81773975,3057,0.000037,51101.838731,93256082,9355157,0.091171,25616.756312,69369294,8571336,0.109973,25001.017308,23886788,783821,0.031771,32350.061356,1804905,29360,0.016006,81588.390668
512,64,rv,random,euclidean,4096,1000,100,100,6.778627,6778627353211,12850862136,12850863626,483717,483717,0.633234,1.579194,58272610,3502,0.000060,55604.771845,3141868188,91402479,0.028269,33352.266544,3127352386,88476095,0.027513,33198.990733,14515802,2926384,0.167776,37986.396990,152026405,6013712,0.038052,82375.495958
512,64,rv,random,euclidean,32,1000,100,1,0.209366,209366366608,416094808,416099083,146733,146734,0.604045,1.655505,85879713,3270,0.000038,48936.584709,119262116,12982076,0.098167,24475.622032,93765399,12172861,0.114905,23966.507565,25496717,809215,0.030762,32134.130130,2566210,29181,0.011243,81050.769233
512,64,rv,random,euclidean,4096,1000,100,50,16.644409,16644409119681,31495341215,31495345474,412963,412963,0.634420,1.576242,124850360,7022,0.000056,55133.876104,7691409023,229051827,0.028919,35196.361486,7662322261,223298717,0.028317,35176.251840,29086762,5753110,0.165130,35976.888593,370023688,17334789,0.044751,83142.250436
512,64,rv,random,euclidean,4096,1000,100,5,16.112448,16112448429938,30495970251,30495974510,409274,409274,0.634270,1.576616,122438394,6706,0.000055,54775.774530,7447426290,221465994,0.028878,34898.964958,7418895918,215864338,0.028274,34862.110781,28530372,5601656,0.164117,36319.170444,358778604,16397824,0.043707,83036.207863
512,64,rv,random,euclidean,128,1000,100,1,0.566983,566982696168,1109087834,1109092179,221385,221386,0.613704,1.629450,93383264,3292,0.000035,48644.973269,297155092,10959691,0.035570,25071.897135,269255720,9942358,0.035610,24452.981925,27899372,1017333,0.035181,31120.532719,8837724,37844,0.004264,76608.484330
512,64,rv,random,euclidean,2048,1000,100,1,8.143482,8143482300268,15440695925,15440700176,379640,379640,0.633138,1.579435,108979164,7655,0.000070,53479.361724,3852949824,45070986,0.011563,52678.416701,3823151992,42435366,0.010978,53554.553865,29797832,2635620,0.081262,38571.982074,124655959,8003108,0.060328,82564.172449
512,64,rv,random,euclidean,128,1000,100,5,0.567017,567017412276,1109168497,1109172842,230076,230077,0.613697,1.629469,93403170,3299,0.000035,48636.190967,297187856,10962893,0.035576,25073.250873,269273620,9946018,0.035621,24454.637497,27914236,1016875,0.035148,31123.886173,8838147,37842,0.004263,76622.373368
