vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
128,64,rvv,random,euclidean,4096,1000,100,100,2.398578,2398577636686,12249964400,12251761397,340846,340896,0.235057,4.254280,99055547,3417,0.000034,57180.562189,2035349813,336966463,0.142041,26508.814106,2006603416,331040495,0.141613,26497.465682,28746397,5925968,0.170913,27142.767560,250990903,139295998,0.356907,39761.979558
128,64,rv,random,euclidean,256,1000,100,100,0.283457,283456517855,1041622767,1041740042,151692,151709,0.326686,3.061040,90393151,2596,0.000029,57547.272342,221800799,13176807,0.056077,14120.255922,191872033,11953474,0.058646,13354.038075,29928766,1223333,0.039270,21607.150426,15693680,57776,0.003668,81117.613144
128,64,rvv,random,euclidean,16,1000,100,100,0.122870,122870194755,263833736,263845861,89171,89175,0.559076,1.788664,69032503,2665,0.000039,54881.415760,82093334,5266600,0.060286,16567.806608,57141604,4497882,0.072971,15427.231738,24951730,768718,0.029887,23241.477807,1880262,32721,0.017105,81175.471960
128,64,rvv,random,euclidean,1024,1000,100,100,0.668757,668756881870,3247786308,3248239253,250922,250957,0.247193,4.045425,85430287,3726,0.000044,51948.035158,615111993,47611359,0.071842,29838.411589,584581950,45662143,0.072452,29968.010252,30530043,1949216,0.060014,26802.446023,47817049,18165575,0.275308,44253.467468
128,64,rv,random,euclidean,512,1000,100,100,0.448773,448772576637,1879473976,1879703173,218152,218179,0.286645,3.488631,91978839,2597,0.000028,59446.754717,363777980,18475220,0.048332,14533.131499,333350306,16910447,0.048280,13866.030773,30427674,1564773,0.048911,21742.465673,29784099,225298,0.007508,63410.793851
128,64,rvv,random,euclidean,512,1000,100,100,0.372020,372019561795,1764484895,1764714092,210214,210241,0.253106,3.950910,83517616,2680,0.000032,60247.968284,360519934,20542163,0.053908,14970.989845,330049992,19019683,0.054487,14420.455401,30469942,1522480,0.047589,21848.578126,29054760,228639,0.007808,65764.376309
128,64,rv,random,euclidean,16,1000,100,100,0.124650,124650179143,260290656,260302781,87372,87377,0.574896,1.739445,75580659,2592,0.000034,56809.828704,81156972,5856920,0.067310,15987.396573,56208930,5084636,0.082955,14864.608391,24948042,772284,0.030026,23379.714951,2069606,32908,0.015652,81303.079586
128,64,rv,random,euclidean,32,1000,100,100,0.139701,139701122190,318817882,318836895,94876,94881,0.526032,1.901025,80281269,2578,0.000032,55901.473235,91379073,9133941,0.090873,14983.689300,64729473,8310740,0.113783,14224.251646,26649600,823201,0.029964,22650.697589,3233655,32999,0.010102,80855.850905
128,64,rvv,random,euclidean,32,1000,100,100,0.138134,138133897664,319600223,319619236,94396,94402,0.518858,1.927311,73210840,2651,0.000036,54714.368540,91665673,8471643,0.084600,15892.322261,64987504,7676894,0.105649,15169.217790,26678169,794749,0.028928,22877.164493,2814550,32476,0.011407,80802.072238
128,64,rvv,random,euclidean,256,1000,100,100,0.252115,252114755410,990342023,990459298,152342,152360,0.305610,3.272141,80352009,2670,0.000033,57450.481273,218727080,14211399,0.061009,14864.936864,188780677,13005847,0.064453,14246.102782,29946403,1205552,0.038699,21541.099647,14983677,57806,0.003843,79297.290593
128,64,rvv,random,euclidean,64,1000,100,100,0.162250,162249677492,416840904,416873959,101629,101637,0.467271,2.140087,74324143,2650,0.000036,55361.808679,109469804,11012040,0.091400,14973.057069,81472828,10123344,0.110521,14352.340255,27996976,888696,0.030766,22043.787483,6416299,33702,0.005225,80416.325025
